Data Date (UTC),City ID Number,City Name,Country,Latitude,Longitude,Temperature (F),Humidity,Cloudiness,Wind Speed (MPH)
1557551104,2208248,Kaitangata,NZ,-46.28,169.85,55.0,78,100,1.01
1557550844,5106834,Albany,US,42.65,-73.75,50.32,87,90,6.93
1557551159,1254709,Tezu,IN,27.93,96.16,72.53,74,97,3.71
1557551159,2110227,Butaritari,KI,3.07,172.79,84.23,80,73,13.6
1557551160,4030556,Rikitea,PF,-23.12,-134.97,77.57,85,72,14.2
1557551160,1056899,Sambava,MG,-14.27,50.17,74.15,94,33,3.58
1557551160,2022572,Khatanga,RU,71.98,102.47,27.89,84,0,10.92
1557551085,2075265,Busselton,AU,-33.64,115.35,71.31,30,91,12.55
1557550997,3874787,Punta Arenas,CL,-53.16,-70.91,39.11,80,75,20.8
1557550872,2538474,Rabat,MA,34.02,-6.83,56.66,93,0,1.12
1557551162,4034496,Fare,PF,-16.7,-151.02,83.15,78,60,11.68
1557549000,2270385,Camacha,PT,33.08,-16.33,66.2,82,40,10.29
1557549000,123941,Minab,IR,27.15,57.07,90.55,38,37,4.7
1557551162,2123814,Leningradskiy,RU,69.38,178.42,19.79,88,59,6.02
1557547200,108410,Riyadh,SA,24.63,46.72,86.0,22,75,9.28
1557551163,1651810,Airai,TL,-8.93,125.41,85.85,59,68,7.11
1557551110,2179103,Whitianga,NZ,-36.83,175.7,64.99,79,79,4.5
1557547200,5882953,Aklavik,CA,68.22,-135.01,41.0,60,90,10.29
1557551046,1106677,Bambous Virieux,MU,-20.34,57.76,77.5,53,75,11.41
1557551164,2126199,Cherskiy,RU,68.75,161.3,31.85,95,96,8.52
1557550542,2112802,Hasaki,JP,35.73,140.83,79.65,50,75,12.75
1557551099,6693679,Gizo,IL,31.8,34.94,61.77,67,0,2.24
1557551166,3863379,Mar del Plata,AR,-46.43,-67.52,57.05,60,100,29.15
1557551166,3831208,Qaanaaq,GL,77.48,-69.36,21.23,70,100,4.05
1557551166,3388847,Sao Felix do Xingu,BR,-6.64,-51.99,70.91,98,95,1.7
1557551167,556268,Ostrovnoy,RU,68.05,39.51,41.93,86,99,12.86
1557551167,1014034,Carnarvon,ZA,-30.97,22.13,55.25,35,0,6.17
1557546960,5554428,Ketchikan,US,55.34,-131.65,54.23,76,40,23.04
1557551168,4020109,Atuona,PF,-9.8,-139.03,83.15,77,2,18.48
1557551169,3421193,Paamiut,GL,61.99,-49.67,36.35,94,98,6.85
1557550975,6185377,Yellowknife,CA,62.45,-114.38,34.54,69,75,4.7
1557551169,2015852,Svetlaya,RU,46.54,138.33,52.01,48,8,6.17
1557551170,3466980,Caravelas,BR,-17.73,-39.27,74.15,76,29,2.08
1557550903,3366880,Hermanus,ZA,-34.42,19.24,54.21,85,77,3.0
1557547200,1273574,Vaini,IN,15.34,74.49,86.0,37,0,5.82
1557551168,4501427,Port Elizabeth,US,39.31,-74.98,66.0,94,63,8.05
1557547200,1006984,East London,ZA,-33.02,27.91,51.8,93,0,4.7
1557551021,4407665,Kodiak,US,39.95,-94.76,53.24,66,90,3.36
1557549000,584051,Svetlogorsk,RU,53.14,59.15,68.0,56,75,6.71
1557547200,3833367,Ushuaia,AR,-54.81,-68.31,42.8,75,40,17.22
1557551173,3833859,Barrow,AR,-38.31,-60.23,50.39,91,50,8.9
1557547200,3374120,Vila do Maio,CV,15.13,-23.22,68.0,82,0,5.82
1557551174,1714733,Dingle,PH,11.0,122.67,92.69,46,68,6.44
1557550921,3870243,Taltal,CL,-25.41,-70.49,56.33,73,0,3.69
1557551175,2337542,Naze,NG,5.43,7.07,76.85,89,100,1.9
1557550977,3369157,Cape Town,ZA,-33.93,18.42,57.87,93,0,6.93
1557550992,4033356,Tiarei,PF,-17.53,-149.33,82.18,74,75,1.12
1557551176,1242110,Kalmunai,LK,7.42,81.82,93.95,51,20,4.03
1557551176,3372707,Ribeira Grande,PT,38.52,-28.7,64.79,91,66,29.3
1557551177,2175403,Bluff,AU,-23.58,149.07,71.45,23,0,19.44
1557549000,2377450,Nouakchott,MR,18.08,-15.98,66.2,93,0,10.29
1557551144,2063036,Port Lincoln,AU,-34.72,135.86,59.57,74,91,13.8
1557551178,2181625,Te Anau,NZ,-45.41,167.72,48.05,85,100,4.81
1557551178,2278158,Buchanan,LR,5.88,-10.05,83.15,77,40,6.4
1557551046,934322,Mahebourg,MU,-20.41,57.7,77.52,53,75,11.41
1557551037,1689431,San Jose,PH,15.79,120.99,94.67,46,86,13.38
1557551180,3567834,Baracoa,CU,20.35,-74.5,79.37,80,7,11.74
1557551180,371745,Kutum,SD,14.2,24.66,81.17,15,12,6.85
1557551079,5847411,Kahului,US,20.89,-156.47,73.35,61,40,12.75
1557551181,2409215,Mattru,SL,7.62,-11.83,78.47,92,52,2.04
1557546600,3424607,Tasiilaq,GL,65.61,-37.64,30.2,74,4,5.82
1557551091,2155562,Nelson Bay,AU,-32.72,152.14,69.55,37,75,17.22
1557551182,3658195,Feijo,EC,-3.63,-79.92,72.89,86,54,1.54
1557550806,6201424,Mataura,NZ,-46.19,168.86,60.01,71,100,3.89
1557549000,3372472,Vila Franca do Campo,PT,37.72,-25.43,64.4,93,75,11.41
1557551183,3412093,Vestmannaeyjar,IS,63.44,-20.27,37.97,53,0,12.03
1557551183,3380290,Sinnamary,GF,5.38,-52.96,81.17,82,86,16.33
1557551184,1139085,Jurm,AF,36.86,70.83,64.07,32,1,3.0
1557551181,5855927,Hilo,US,19.71,-155.08,71.1,69,1,6.93
1557551184,2122090,Pevek,RU,69.7,170.27,28.97,71,88,0.78
1557550928,2160063,Codrington,AU,-28.95,153.24,71.78,30,0,16.11
1557551185,3347019,Namibe,AO,-15.19,12.15,74.15,80,0,7.34
1557551185,1214488,Meulaboh,ID,4.14,96.13,84.59,72,100,8.3
1557551138,546105,Nikolskoye,RU,59.7,30.79,53.6,100,90,6.71
1557551011,3453186,Ponta Grossa,BR,-25.09,-50.16,64.25,99,100,4.23
1557551186,4031574,Provideniya,RU,64.42,-173.23,34.19,76,81,8.77
1557551041,6620339,Karratha,AU,-20.74,116.85,82.79,16,0,18.68
1557551114,2067070,Palmer,AU,-34.85,139.16,60.48,77,75,10.29
1557551187,2069194,Jamestown,AU,-33.21,138.6,58.31,69,62,8.88
1557550800,3897774,Buin,CL,-33.73,-70.74,44.6,75,0,3.18
1557551188,3453439,Ponta do Sol,BR,-20.63,-46.0,62.27,98,93,3.18
1557549000,3372783,Ponta Delgada,PT,37.73,-25.67,64.4,93,75,11.41
1557550931,6255012,Flinders,AU,-34.58,150.85,66.9,37,40,12.75
1557549000,1733782,Victoria,BN,5.28,115.24,87.37,70,75,3.36
1557551143,1791464,Wenling,CN,28.38,121.38,84.04,56,22,5.99
1557547200,6170031,Tuktoyaktuk,CA,69.44,-133.03,19.4,92,75,12.75
1557551123,5969785,Hamilton,CA,43.26,-79.87,40.32,86,5,3.36
1557550948,3652462,San Cristobal,EC,-0.39,-78.55,48.25,93,75,2.86
1557551149,964432,Port Alfred,ZA,-33.59,26.89,62.01,73,0,5.26
1557549000,2064735,Nhulunbuy,AU,-12.18,136.78,78.8,65,75,18.34
1557551192,3839307,Rawson,AR,-43.3,-65.11,53.45,50,59,13.31
1557547200,6068416,Mayo,CA,63.59,-135.9,62.6,21,75,9.17
1557550948,2267254,Lagoa,PT,37.14,-8.45,57.69,72,0,5.82
1557551193,6972233,Wencheng,CN,27.79,120.09,76.67,56,43,3.87
1557551194,2287790,Issia,CI,6.49,-6.58,74.15,99,99,2.1
1557549000,1735076,Butterworth,MY,5.4,100.37,88.29,70,75,4.7
1557551194,3385899,Tutoia,BR,-2.76,-42.27,74.51,97,100,2.91
1557547200,3899539,Antofagasta,CL,-23.65,-70.4,57.2,82,90,8.05
1557547200,3386213,Touros,BR,-5.2,-35.46,75.2,100,40,4.7
1557551012,5848280,Kapaa,US,22.08,-159.32,76.1,78,75,19.46
1557551196,3439525,Young,UY,-32.7,-57.63,51.29,90,0,6.89
1557551176,2155415,New Norfolk,AU,-42.78,147.06,58.62,38,75,8.05
1557546600,3421719,Narsaq,GL,60.91,-46.05,37.4,91,51,1.12
1557547200,3896218,Castro,CL,-42.48,-73.76,51.8,100,90,14.99
1557551198,4021858,Guerrero Negro,MX,27.97,-114.04,62.63,82,0,11.7
1557551198,2038067,Chifeng,CN,42.27,118.96,72.17,25,100,15.84
1557549000,1490256,Talnakh,RU,69.49,88.39,32.0,95,75,6.71
1557551199,2094342,Kavieng,PG,-2.57,150.8,84.41,74,95,9.84
1557549000,292968,Abu Dhabi,AE,24.47,54.37,90.84,40,5,2.24
1557551200,2436400,Ati,TD,13.21,18.34,90.53,11,37,13.24
1557551163,6138908,Saint-Philippe,CA,45.36,-73.48,49.17,81,90,11.41
1557551147,4566103,Luquillo,PR,18.37,-65.72,76.3,78,20,5.82
1557550972,5983720,Iqaluit,CA,63.75,-68.52,32.0,87,90,25.28
1557547200,3927774,Tarata,PE,-17.47,-70.03,60.8,77,90,2.24
1557551201,3443061,Chuy,UY,-33.69,-53.46,59.21,81,0,14.38
1557551202,1253628,Lata,IN,30.78,78.62,39.59,67,100,9.62
1557547200,3374083,Bathsheba,BB,13.22,-59.52,80.6,83,40,18.34
1557549000,4035715,Avarua,CK,-21.21,-159.78,78.8,83,93,4.7
1557551103,2639989,Port Talbot,GB,51.6,-3.79,43.32,93,15,6.93
1557551054,5856516,Ahuimanu,US,21.44,-157.84,76.93,57,75,6.93
1557549000,6452235,Ajaccio,FR,41.93,8.74,57.18,82,90,4.7
1557547200,3378644,Georgetown,GY,6.8,-58.16,77.0,100,40,6.93
1557547200,1153269,Hua Hin,TH,12.57,99.96,91.4,55,20,8.05
1557551205,2026023,Bukachacha,RU,52.99,116.91,50.03,19,83,5.3
1557551046,1106643,Quatre Cocos,MU,-20.21,57.76,77.47,53,75,11.41
1557550380,5880568,Bethel,US,60.79,-161.76,50.47,81,90,10.29
1557551149,4372777,Vardo,US,39.62,-77.74,62.71,100,1,5.28
1557551108,2036338,Kaitong,CN,44.81,123.15,86.93,14,33,16.08
1557550815,187896,Mandera,ET,3.94,41.86,84.99,14,71,1.01
1557550884,3372760,Praia da Vitoria,PT,38.73,-27.07,64.69,100,75,29.39
1557550887,3671497,Puerto Colombia,CO,10.99,-74.96,78.44,94,75,2.24
1557550903,1015776,Bredasdorp,ZA,-34.53,20.04,52.75,93,73,3.36
1557549000,2142316,Yeppoon,AU,-23.13,150.74,77.0,15,38,16.11
1557551209,2015306,Tiksi,RU,71.64,128.87,23.03,87,68,14.05
1557551209,1253638,Utraula,IN,27.32,82.42,106.91,9,3,6.71
1557550926,2016907,Severomuysk,RU,56.17,113.57,26.27,87,95,5.59
1557547200,3860443,Comodoro Rivadavia,AR,-45.87,-67.48,62.6,45,0,29.97
1557551210,2125711,Esso,RU,55.93,158.7,43.91,54,3,4.03
1557551126,3893629,Coquimbo,CL,-29.95,-71.34,50.0,93,20,2.24
1557550936,2163355,Hobart,AU,-42.88,147.33,58.62,38,75,8.05
1557551211,1337605,Mahibadhoo,MV,3.78,72.97,85.67,66,44,3.91
1557550877,2185329,Waipawa,NZ,-39.94,176.59,60.01,77,68,2.46
1557551212,2126123,Chokurdakh,RU,70.62,147.9,20.69,92,9,6.58
1557550955,1282256,Hithadhoo,MV,-0.6,73.08,85.31,66,18,5.95
1557551212,1629001,Samarinda,ID,-0.5,117.14,93.23,52,100,3.15
1557551213,588365,Vao,EE,59.1,26.19,52.37,78,98,3.4
1557550781,5983430,Innisfail,CA,52.02,-113.95,51.1,43,20,9.17
1557551214,4034551,Faanui,PF,-16.48,-151.75,83.33,78,93,11.68
1557551214,64814,Bandarbeyla,SO,9.49,50.81,86.93,57,100,12.46
1557551215,1633419,Padang,ID,-0.92,100.36,83.15,73,55,5.1
1557551215,1082243,Ambilobe,MG,-13.19,49.05,82.43,64,23,12.15
1557551216,1786538,Yining,CN,29.04,114.56,91.79,34,0,1.59
1557547200,6165406,Thompson,CA,55.74,-97.86,51.8,37,75,11.41
1557548100,6050066,La Ronge,CA,55.1,-105.3,42.8,100,90,4.7
1557551167,3461425,Ilhabela,BR,-23.78,-45.36,78.11,77,100,8.66
1557549000,584365,Abrau-Dyurso,RU,44.7,37.6,55.09,100,90,2.24
1557551218,1326105,Falam,MM,22.91,93.68,90.89,16,0,7.36
1557551218,1178338,Gilgit,PK,35.92,74.31,39.05,60,94,3.74
1557551218,2125693,Evensk,RU,61.92,159.24,49.67,49,4,10.38
1557549000,2548885,Fez,MA,34.03,-5.02,56.08,93,0,8.05
1557551149,3038789,Abbeville,FR,50.11,1.83,48.87,93,93,4.7
1557549000,2068655,Katherine,AU,-14.47,132.26,77.0,20,85,14.99
1557551222,3894483,Cochrane,CL,-47.25,-72.57,40.49,93,83,4.9
1557551222,3832899,Viedma,AR,-40.81,-62.99,50.03,72,0,8.12
1557548100,3050785,Kadarkut,HU,46.24,17.62,44.6,100,5,1.66
1557551223,3418910,Upernavik,GL,72.79,-56.15,27.71,88,100,1.9
1557550800,6320062,Vila Velha,BR,-3.71,-38.6,78.98,83,0,5.82
1557551224,554830,Izhma,RU,65.01,53.91,55.61,45,16,5.06
1557551224,3437547,Pedro Juan Caballero,PY,-22.55,-55.74,76.85,66,65,7.49
1557551186,3465713,Conde,BR,-11.81,-37.61,71.09,98,1,2.28
1557551225,3354077,Opuwo,NA,-18.06,13.84,68.21,33,0,6.15
1557551225,2229748,Kumbo,CM,6.21,10.69,66.41,82,82,1.1
1557549000,2122104,Petropavlovsk-Kamchatskiy,RU,53.05,158.65,44.6,70,20,15.66
1557550806,2180815,Tuatapere,NZ,-46.13,167.69,60.01,71,99,0.72
1557547200,6113406,Prince Rupert,CA,54.32,-130.32,48.2,87,90,4.7
1557551104,3186294,Zupanja,HR,45.08,18.7,50.2,93,0,4.7
1557551171,3115824,Muros,ES,42.77,-9.06,49.35,93,90,2.75
1557551188,4696310,Harper,US,30.3,-99.24,55.15,93,90,5.3
1557551228,778707,Mehamn,NO,71.03,27.85,37.61,94,100,15.37
1557551228,1277397,Banda,IN,25.47,80.33,105.11,13,17,9.19
1557547208,3652764,Puerto Ayora,EC,-0.74,-90.35,75.99,94,69,7.2
1557551229,1514581,Angren,UZ,41.01,70.08,74.51,22,49,4.23
1557547200,3373652,Oistins,BB,13.07,-59.53,80.6,83,40,18.34
1557546600,286621,Salalah,OM,17.01,54.1,84.2,74,20,5.82
1557549000,1735106,George Town,MY,5.42,100.33,88.29,70,75,4.7
1557551104,3190586,Paka,HR,45.29,18.06,51.98,93,0,4.7
1557551018,5962442,Goderich,CA,43.74,-81.71,38.12,86,18,8.48
1557551231,2316748,Bolobo,CD,-2.17,16.23,75.77,81,100,1.3
1557551232,3421765,Nanortalik,GL,60.14,-45.24,33.65,81,46,3.33
1557551225,2995603,Saint-Pierre,FR,48.95,4.24,52.75,93,99,21.92
1557551233,1626542,Sorong,ID,-0.86,131.25,89.09,62,37,5.61
1557551233,2396853,Omboue,GA,-1.57,9.26,80.27,80,100,5.73
1557551234,344979,Lebu,ET,8.96,38.73,64.97,45,36,4.9
1557551234,3840092,Puerto Madryn,AR,-42.77,-65.04,56.15,47,33,11.45
1557551234,3883167,Linares,CL,-35.85,-71.6,46.97,84,0,4.59
1557548400,262462,Saint George,GR,39.45,22.34,52.34,76,20,3.36
1557551207,755889,Wieliczka,PL,49.98,20.06,50.52,87,40,4.7
1557551174,2176639,Batemans Bay,AU,-35.71,150.18,60.19,49,1,4.0
1557549000,2033675,Xinmin,CN,42.0,122.83,82.4,14,0,8.95
1557551236,4013704,Laguna,MX,27.52,-110.01,72.17,42,0,4.34
1557551237,3402648,Carutapera,BR,-1.2,-46.02,77.21,94,100,5.53
1557549000,1645528,Denpasar,ID,-8.65,115.22,84.2,74,20,17.22
1557548400,2524546,Guspini,IT,39.54,8.63,58.01,93,40,9.17
1557547200,6089245,Norman Wells,CA,65.28,-126.83,50.0,46,90,17.22
1557551133,3622854,Miramar,CR,10.09,-84.73,69.3,94,0,2.24
1557550800,3871336,Santiago,CL,-33.44,-70.65,44.6,75,0,2.15
1557547200,3899361,Arica,CL,-18.48,-70.32,62.4,72,90,4.7
1557551240,2347758,Bara,NG,10.41,10.6,84.77,52,75,4.05
1557551240,3471451,Arraial do Cabo,BR,-22.97,-42.02,74.87,79,89,15.35
1557551241,2014078,Urusha,RU,54.05,122.9,56.33,26,100,5.93
1557551046,934649,Cap Malheureux,MU,-19.98,57.61,77.4,53,75,11.41
1557551242,2420826,Gaoual,GN,11.75,-13.2,78.83,71,0,5.82
1557550758,1278602,Angamali,IN,10.2,76.4,93.4,66,40,6.93
1557547200,110690,Faya,SA,18.39,42.45,64.4,59,5,4.7
1557551243,2082539,Merauke,ID,-8.49,140.4,82.43,73,28,15.55
1557547200,359783,Asyut,EG,27.18,31.19,62.6,51,0,11.41
1557551201,458892,Kegums,LV,56.75,24.72,49.57,87,0,2.24
1557549000,511196,Perm,RU,58.02,56.25,73.4,43,0,11.18
1557550981,656688,Imatra,FI,61.17,28.77,51.96,93,90,2.24
1557551245,1504382,Kargasok,RU,59.06,80.87,55.97,27,41,10.31
1557551245,2063039,Port Keats,AU,-14.25,129.55,80.27,31,60,15.77
1557551245,1789065,Ankang,CN,32.73,108.99,81.35,37,0,4.76
1557551068,2669047,Timra,SE,62.49,17.33,41.68,75,8,4.16
1557547200,2508813,Adrar,DZ,27.87,-0.29,78.8,5,0,11.41
1557547200,1863521,Gotsu,JP,35.01,132.22,66.2,77,20,6.93
1557551174,5915327,Cap-aux-Meules,CA,47.38,-61.86,37.07,92,100,14.9
1557551243,6094391,Ormstown,CA,45.13,-73.99,49.21,81,90,11.41
1557549000,569615,Chekalin,RU,54.1,36.24,55.4,87,90,15.66
1557551247,2025286,Chuguyevka,RU,44.17,133.87,72.89,26,0,5.32
1557551248,1082639,Ambatondrazaka,MG,-17.82,48.43,66.95,78,77,4.54
1557551026,5312476,Safford,US,32.83,-109.71,60.48,37,75,8.05
1557550200,7671223,Kloulklubed,PW,7.04,134.26,86.0,74,75,8.05
1557548220,6355222,Yulara,AU,-25.24,130.99,66.2,29,0,17.22
